Technique ID,Technique Name,Sentences
T1490,Inhibit System Recovery,WastedLocker can delete shadow volumes.[1][2][3]
T1112,Modify Registry,WastedLocker can modify registry values within the Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap registry key.[2]
T1106,Native API,"WastedLocker's custom crypter, CryptOne, leveraged the VirtualAlloc() API function to help execute the payload.[2]"
T1135,Network Share Discovery,WastedLocker can identify network adjacent and accessible drives.[3]
T1027,Obfuscated Files or Information,The WastedLocker payload includes encrypted strings stored within the .bss section of the binary file.[2]
T1027,Binary Padding,WastedLocker contains junk code to increase its entropy and hide the actual code.[2]
T1120,Peripheral Device Discovery,WastedLocker can enumerate removable drives prior to the encryption process.[3]
T1012,Query Registry,WastedLocker checks for specific registry keys related to the UCOMIEnumConnections and IActiveScriptParseProcedure32 interfaces.[2]
T1569,System Services: Service Execution,WastedLocker can execute itself as a service.[2]
T1497,Virtualization/Sandbox Evasion: System Checks,WastedLocker checked if UCOMIEnumConnections and IActiveScriptParseProcedure32 Registry keys were detected as part of its anti-analysis technique.[2]
T1071,Application Layer Protocol: Web Protocols,BackConfig has the ability to use HTTPS for C2 communiations.[1]
T1059,Command and Scripting Interpreter: Windows Command Shell,BackConfig can download and run batch files to execute commands on a compromised host.[1]
T1059,Command and Scripting Interpreter: Visual Basic,BackConfig has used VBS to install its downloader component and malicious documents with VBA macro code.[1]
T1140,Deobfuscate/Decode Files or Information,BackConfig has used a custom routine to decrypt strings.[1]
T1083,File and Directory Discovery,BackConfig has the ability to identify folders and files related to previous infections.[1]
T1564,Hide Artifacts: Hidden Files and Directories,BackConfig has the ability to set folders or files to be hidden from the Windows Explorer default view.[1]
T1070,Indicator Removal on Host: File Deletion,BackConfig has the ability to remove files and folders related to previous infections.[1]
T1105,Ingress Tool Transfer,BackConfig can download and execute additional payloads on a compromised host.[1]
T1036,Masquerading: Match Legitimate Name or Location,BackConfig has hidden malicious payloads in %USERPROFILE%\Adobe\Driver\dwg\ and mimicked the legitimate DHCP service binary.[1]
T1106,Native API,BackConfig can leverage API functions such as ShellExecuteA and HttpOpenRequestA in the process of downloading and executing files.[1]
T1027,Obfuscated Files or Information,BackConfig has used compressed and decimal encoded VBS scripts.[1]
T1137,Office Application Startup: Office Template Macros,BackConfig has the ability to use hidden columns in Excel spreadsheets to store executable files or commands for VBA macros.[1]
T1053,Scheduled Task/Job: Scheduled Task,BackConfig has the ability to use scheduled tasks to repeatedly execute malicious payloads on a compromised host.[1]
T1553,Subvert Trust Controls: Code Signing,BackConfig has been signed with self signed digital certificates mimicking a legitimate software company.[1]
T1082,System Information Discovery,BackConfig has the ability to gather the victim's computer name.[1]
T1204,User Execution: Malicious Link,BackConfig has compromised victims via links to URLs hosting malicious content.[1]
T1485,Data Destruction,SDelete deletes data in a way that makes it unrecoverable.[1]
T1070,Indicator Removal on Host: File Deletion,SDelete deletes data in a way that makes it unrecoverable.[1]
T1543,Create or Modify System Process: Windows Service,"WannaCry creates the service ""mssecsvc2.0"" with the display name ""Microsoft Security Center (2.0) Service.""[1][4]"
T1486,Data Encrypted for Impact,WannaCry encrypts user files and demands that a ransom be paid in Bitcoin to decrypt those files.[1][4][5]
T1573,Encrypted Channel: Asymmetric Cryptography,WannaCry uses Tor for command and control traffic and routes a custom cryptographic protocol over the Tor circuit.[5]
T1210,Exploitation of Remote Services,WannaCry uses an exploit in SMBv1 to spread itself to other remote systems on a network.[1][4][2]
T1083,File and Directory Discovery,"WannaCry searches for variety of user files by file extension before encrypting them using RSA and AES, including Office, PDF, image, audio, video, source code, archive/compression format, and key and certificate files.[1][4]"
T1222,File and Directory Permissions Modification: Windows File and Directory Permissions Modification,WannaCry uses attrib +h and icacls . /grant Everyone:F /T /C /Q to make some of its files hidden and grant all users full access controls.[1]
T1564,Hide Artifacts: Hidden Files and Directories,WannaCry uses attrib +h to make some of its files hidden.[1]
T1490,Inhibit System Recovery,"WannaCry uses vssadmin, wbadmin, bcdedit, and wmic to delete and disable operating system recovery features.[1][4][5]"
T1570,Lateral Tool Transfer,WannaCry attempts to copy itself to remote computers after gaining access via an SMB exploit.[1]
T1120,Peripheral Device Discovery,"WannaCry contains a thread that will attempt to scan for new attached drives every few seconds. If one is identified, it will encrypt the files on the attached device.[4]"
T1090,Proxy: Multi-hop Proxy,WannaCry uses Tor for command and control traffic.[5]
T1563,Remote Service Session Hijacking: RDP Hijacking,WannaCry enumerates current remote desktop sessions and tries to execute the malware on each session.[1]
T1018,Remote System Discovery,WannaCry scans its local network segment for remote systems to try to exploit and copy itself to.[5]
T1489,Service Stop,"WannaCry attempts to kill processes associated with Exchange, Microsoft SQL Server, and MySQL to make it possible to encrypt their data stores.[4][5]"
T1016,System Network Configuration Discovery,WannaCry will attempt to determine the local network segment it is a part of.[5]
T1047,Windows Management Instrumentation,WannaCry utilizes wmic to delete shadow copies.[1][4][5]
T1071,Application Layer Protocol: Web Protocols,Final1stspy uses HTTP for C2.[1]
T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Final1stspy creates a Registry Run key to establish persistence.[1]
T1140,Deobfuscate/Decode Files or Information,Final1stspy uses Python code to deobfuscate base64-encoded strings.[1]
T1027,Obfuscated Files or Information,Final1stspy obfuscates strings with base64 encoding.[1]
T1057,Process Discovery,Final1stspy obtains a list of running processes.[1]
T1082,System Information Discovery,Final1stspy obtains victim Microsoft Windows version information and CPU architecture.[1]
T1087,Account Discovery: Domain Account,"BoomBox has the ability to execute an LDAP query to enumerate the distinguished name, SAM account name, and display name for all domain users.[1]"
T1087,Account Discovery: Email Account,BoomBox can execute an LDAP query to discover e-mail accounts for domain users.[1]
T1071,Application Layer Protocol: Web Protocols,BoomBox has used HTTP POST requests for C2.[1]
T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,BoomBox can establish persistence by writing the Registry value MicroNativeCacheSvc to HKCU\Software\Microsoft\Windows\CurrentVersion\Run.[1]
T1140,Deobfuscate/Decode Files or Information,BoomBox can decrypt AES-encrypted files downloaded from C2.[1]
T1480,Execution Guardrails,BoomBox can check its current working directory and for the presence of a specific file and terminate if specific values are not found.[1]
T1567,Exfiltration Over Web Service: Exfiltration to Cloud Storage,BoomBox can upload data to dedicated per-victim folders in Dropbox.[1]
T1083,File and Directory Discovery,BoomBox can search for specific files and directories on a machine.[1]
T1105,Ingress Tool Transfer,BoomBox has the ability to download next stage malware components to a compromised system.[1]
T1036,Masquerading,BoomBox has the ability to mask malicious data strings as PDF files.[1]
T1027,Obfuscated Files or Information,BoomBox can encrypt data using AES prior to exfiltration.[1]
T1218,System Binary Proxy Execution: Rundll32,BoomBox can use RunDLL32 for execution.[1]
T1082,System Information Discovery,"BoomBox can enumerate the hostname, domain, and IP of a compromised host.[1]"
T1033,System Owner/User Discovery,BoomBox can enumerate the username on a compromised host.[1]
T1204,User Execution: Malicious File,BoomBox has gained execution through user interaction with a malicious file.[1]
T1102,Web Service,BoomBox can download files from Dropbox using a hardcoded access token.[1]
T1071,Application Layer Protocol: DNS,Cobian RAT uses DNS for C2.[1]
T1123,Audio Capture,Cobian RAT has a feature to perform voice recording on the victim’s machine.[1]
T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Cobian RAT creates an autostart Registry key to ensure persistence.[1]
T1059,Command and Scripting Interpreter: Windows Command Shell,Cobian RAT can launch a remote command shell interface for executing commands.[1]
T1132,Data Encoding: Standard Encoding,Cobian RAT obfuscates communications with the C2 server using Base64 encoding.[1]
T1056,Input Capture: Keylogging,Cobian RAT has a feature to perform keylogging on the victim’s machine.[1]
T1113,Screen Capture,Cobian RAT has a feature to perform screen capture.[1]
T1125,Video Capture,Cobian RAT has a feature to access the webcam on the victim’s machine.[1]
T1071,Application Layer Protocol: Mail Protocols,"NavRAT uses the email platform, Naver, for C2 communications, leveraging SMTP.[1]"
T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,NavRAT creates a Registry key to ensure a file gets executed upon reboot in order to establish persistence.[1]
T1059,Command and Scripting Interpreter: Windows Command Shell,NavRAT leverages cmd.exe to perform discovery techniques.[1] NavRAT loads malicious shellcode and executes it in memory.[1]
T1074,Data Staged: Local Data Staging,NavRAT writes multiple outputs to a TMP file using the >> method.[1]
T1105,Ingress Tool Transfer,NavRAT can download files remotely.[1]
T1056,Input Capture: Keylogging,NavRAT logs the keystrokes on the targeted system.[1]
T1057,Process Discovery,NavRAT uses tasklist /v to check running processes.[1]
T1055,Process Injection,NavRAT copies itself into a running Internet Explorer process to evade detection.[1]
T1082,System Information Discovery,NavRAT uses systeminfo on a victim’s machine.[1]
T1087,Account Discovery: Local Account,SHOTPUT has a command to retrieve information about connected users.[3]
T1083,File and Directory Discovery,SHOTPUT has a command to obtain a directory listing.[3]
T1027,Obfuscated Files or Information,SHOTPUT is obscured using XOR encoding and appended to a valid GIF file.[1][3]
T1057,Process Discovery,SHOTPUT has a command to obtain a process listing.[3]
T1018,Remote System Discovery,"SHOTPUT has a command to list all servers in the domain, as well as one to locate domain controllers on a domain.[3]"
T1049,System Network Connections Discovery,SHOTPUT uses netstat to list TCP connection status.[3]
T1560,Archive Collected Data: Archive via Library,BADFLICK has compressed data using the aPLib compression library.[2]
T1005,Data from Local System,BADFLICK has uploaded files from victims' machines.[2]
T1140,Deobfuscate/Decode Files or Information,BADFLICK can decode shellcode using a custom rotating XOR cipher.[2]
T1083,File and Directory Discovery,BADFLICK has searched for files on the infected host.[2]
T1105,Ingress Tool Transfer,BADFLICK has download files from its C2 server.[2]
T1566,Phishing: Spearphishing Attachment,BADFLICK has been distributed via spearphishing campaigns containing malicious Microsoft Word documents.[2]
T1082,System Information Discovery,"BADFLICK has captured victim computer name, memory space, and CPU details.[2]"
T1016,System Network Configuration Discovery,BADFLICK has captured victim IP address details.[2]
T1204,User Execution: Malicious File,BADFLICK has relied upon users clicking on a malicious attachment delivered through spearphishing.[2]
T1497,Virtualization/Sandbox Evasion: Time Based Evasion,BADFLICK has delayed communication to the actor-controlled IP address by 5 minutes.[2]
T1059,Command and Scripting Interpreter: PowerShell,JSS Loader has the ability to download and execute PowerShell scripts.[2]
T1059,Command and Scripting Interpreter: Visual Basic,JSS Loader can download and execute VBScript files.[2]
T1059,Command and Scripting Interpreter: JavaScript,JSS Loader can download and execute JavaScript files.[2]
T1105,Ingress Tool Transfer,JSS Loader has the ability to download malicious executables to a compromised host.[2]
T1566,Phishing: Spearphishing Attachment,JSS Loader has been delivered by phishing emails containing malicious Microsoft Excel attachments.[1]
T1053,Scheduled Task/Job: Scheduled Task,JSS Loader has the ability to launch scheduled tasks to establish persistence.[2]
T1204,User Execution: Malicious File,JSS Loader has been executed through malicious attachments contained in spearphishing emails.[1]
T1548,Abuse Elevation Control Mechanism: Bypass User Account Control,"Downdelph bypasses UAC to escalate privileges by using a custom ""RedirectEXE"" shim database.[1]"
T1001,Data Obfuscation: Junk Data,"Downdelph inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them.[1]"
T1573,Encrypted Channel: Symmetric Cryptography,Downdelph uses RC4 to encrypt C2 responses.[1]
T1574,Hijack Execution Flow: DLL Search Order Hijacking,Downdelph uses search order hijacking of the Windows executable sysprep.exe to escalate privileges.[1]
T1105,Ingress Tool Transfer,"After downloading its main config file, Downdelph downloads multiple payloads from C2 servers.[1]"
T1548,Abuse Elevation Control Mechanism: Bypass User Account Control,"Downdelph bypasses UAC to escalate privileges by using a custom ""RedirectEXE"" shim database.[1]"
T1001,Data Obfuscation: Junk Data,"Downdelph inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them.[1]"
T1573,Encrypted Channel: Symmetric Cryptography,Downdelph uses RC4 to encrypt C2 responses.[1]
T1574,Hijack Execution Flow: DLL Search Order Hijacking,Downdelph uses search order hijacking of the Windows executable sysprep.exe to escalate privileges.[1]
T1105,Ingress Tool Transfer,"After downloading its main config file, Downdelph downloads multiple payloads from C2 servers.[1]"
T1059,Command and Scripting Interpreter: Windows Command Shell,TYPEFRAME can uninstall malware components using a batch script.[1] TYPEFRAME can execute commands using a shell.[1]
T1059,Command and Scripting Interpreter: Visual Basic,TYPEFRAME has used a malicious Word document for delivery with VBA macros for execution.[1]
T1543,Create or Modify System Process: Windows Service,TYPEFRAME variants can add malicious DLL modules as new services.TYPEFRAME can also delete services from the victim’s machine.[1]
T1140,Deobfuscate/Decode Files or Information,"One TYPEFRAME variant decrypts an archive using an RC4 key, then decompresses and installs the decrypted malicious DLL module. Another variant decodes the embedded file by XORing it with the value ""0x35"".[1]"
T1083,File and Directory Discovery,TYPEFRAME can search directories for files on the victim’s machine.[1]
T1562,Impair Defenses: Disable or Modify System Firewall,TYPEFRAME can open the Windows Firewall on the victim’s machine to allow incoming connections.[1]
T1070,Indicator Removal on Host: File Deletion,TYPEFRAME can delete files off the system.[1]
T1105,Ingress Tool Transfer,TYPEFRAME can upload and download files to the victim’s machine.[1]
T1112,Modify Registry,TYPEFRAME can install encrypted configuration data under the Registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\ShellCompatibility\Applications\laxhost.dll and HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\PrintConfigs.[1]
T1571,Non-Standard Port,"TYPEFRAME has used ports 443, 8080, and 8443 with a FakeTLS method.[1]"
T1027,Obfuscated Files or Information,APIs and strings in some TYPEFRAME variants are RC4 encrypted. Another variant is encoded with XOR.[1]
T1090,Proxy,A TYPEFRAME variant can force the compromised system to function as a proxy server.[1]
T1082,System Information Discovery,TYPEFRAME can gather the disk volume information.[1]
T1204,User Execution: Malicious File,A Word document delivering TYPEFRAME prompts the user to enable macro execution.[1]
T1071,Application Layer Protocol: Web Protocols,BUBBLEWRAP can communicate using HTTP or HTTPS.[1]
T1095,Non-Application Layer Protocol,BUBBLEWRAP can communicate using SOCKS.[1]
T1082,System Information Discovery,"BUBBLEWRAP collects system information, including the operating system version and hostname.[1]"
T1071,Application Layer Protocol,Adversaries can also use NETEAGLE to establish an RDP connection with a controller over TCP/7519.
T1071,Web Protocols,"NETEAGLE will attempt to detect if the infected host is configured to a proxy. If so, NETEAGLE will send beacons via an HTTP POST request. NETEAGLE will also use HTTP to download resources that contain an IP address and Port Number pair to connect to for further C2.[1]"
T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,"The ""SCOUT"" variant of NETEAGLE achieves persistence by adding itself to the HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run Registry key.[1]"
T1059,Command and Scripting Interpreter: Windows Command Shell,NETEAGLE allows adversaries to execute shell commands on the infected host.[1]
T1568,Dynamic Resolution,NETEAGLE can use HTTP to download resources that contain an IP address and port number pair to connect to for C2.[1]
T1573,Encrypted Channel: Symmetric Cryptography,"NETEAGLE will decrypt resources it downloads with HTTP requests by using RC4 with the key ""ScoutEagle.""[1]"
T1041,Exfiltration Over C2 Channel,NETEAGLE is capable of reading files over the C2 channel.[1]
T1008,Fallback Channels,"NETEAGLE will attempt to detect if the infected host is configured to a proxy. If so, NETEAGLE will send beacons via an HTTP POST request; otherwise it will send beacons via UDP/6000.[1]"
T1083,File and Directory Discovery,"NETEAGLE allows adversaries to enumerate and modify the infected host's file system. It supports searching for directories, creating directories, listing directory contents, reading and writing to files, retrieving file attributes, and retrieving volume information.[1]"
T1095,Non-Application Layer Protocol,"If NETEAGLE does not detect a proxy configured on the infected machine, it will send beacons via UDP/6000. Also, after retrieving a C2 IP address and Port Number, NETEAGLE will initiate a TCP connection to this socket. The ensuing connection is a plaintext C2 channel in which commands are specified by DWORDs.[1]"
T1057,Process Discovery,NETEAGLE can send process listings over the C2 channel.[1]
T1087,Account Discovery: Email Account,Ruler can be used to enumerate Exchange users and dump the GAL.[1]
T1137,Office Application Startup: Outlook Forms,Ruler can be used to automate the abuse of Outlook Forms to establish persistence.[1]
T1137,Office Application Startup: Outlook Home Page,Ruler can be used to automate the abuse of Outlook Home Pages to establish persistence.[1]
T1137,Office Application Startup: Outlook Rules,Ruler can be used to automate the abuse of Outlook Rules to establish persistence.[1]
T1132,Data encoding,The attacker used XOR encryption to hide the data in transit.
T1132,Data encoding,The attacker used XOR encryption to hide the command and control communication.
T1132,Data encoding,The attacker used steganography to hide the data within image files.
T1132,Data encoding,The attacker used steganography to hide data within an image file.
T1132,Data encoding,The attacker used RSA encryption to encrypt the private key.
T1132,Data encoding,The attacker used ROT13 to obfuscate the data.
T1132,Data encoding,The attacker used ROT13 encoding to obscure the data.
T1132,Data encoding,The attacker used RC4 encryption to encrypt the data.
T1132,Data encoding,The attacker used PKZIP encryption to encrypt the data.
T1132,Data encoding,The attacker used DES encryption to encrypt the data.
T1132,Data encoding,The attacker used Blowfish encryption to encrypt the data.
T1132,Data encoding,The attacker used base64 encoding to obfuscate the payload.
T1132,Data encoding,The attacker used base64 encoding to obfuscate the data before exfiltrating it.
T1132,Data encoding,The attacker used Base32 encoding to encode the data.
T1132,Data encoding,The attacker used ASCII encoding to obfuscate the data.
T1132,Data encoding,The attacker used an XOR cipher to encrypt the communication.
T1132,Data encoding,The attacker used an SSL/TLS connection to encrypt the communication.
T1132,Data encoding,The attacker used an asymmetric key to encrypt the data.
T1132,Data encoding,The attacker used AES encryption with a 256-bit key to encrypt the data.
T1132,Data encoding,The attacker used AES encryption to encrypt sensitive data.
T1132,Data encoding,The attacker used a zero-day exploit to exploit a vulnerability before it was patched.
T1132,Data encoding,The attacker used a watering hole attack to target a specific group of individuals.
T1132,Data encoding,The attacker used a watering hole attack to infect a website with malware.
T1132,Data encoding,The attacker used a VPN connection to hide their IP address.
T1132,Data encoding,The attacker used a Vigenere cipher to encrypt the payload.
T1132,Data encoding,The attacker used a Tor network to anonymize their communication.
T1132,Data encoding,The attacker used a symmetric key to encrypt the data.
T1132,Data encoding,The attacker used a substitution cipher to encrypt the data.
T1132,Data encoding,The attacker used a stream cipher to encrypt the data.
T1132,Data encoding,The attacker used a SQL injection attack to extract data from a database.
T1132,Data encoding,The attacker used a spear-phishing email to target a specific individual.
T1132,Data encoding,The attacker used a social engineering attack to gain the victim's trust.
T1132,Data encoding,The attacker used a simple substitution cipher to encode the message.
T1132,Data encoding,The attacker used a screen scraper to capture screenshots.
T1132,Data encoding,The attacker used a rootkit to hide their presence on the system.
T1132,Data encoding,The attacker used a replay attack to intercept the authentication token.
T1132,Data encoding,The attacker used a rainbow table to crack the password hash.
T1132,Data encoding,The attacker used a proxy server to hide the source of the attack.
T1132,Data encoding,The attacker used a privilege escalation attack to gain administrative privileges.
T1132,Data encoding,The attacker used a polyalphabetic substitution cipher to encode the message.
T1132,Data encoding,The attacker used a phishing email to trick the victim into clicking on a malicious link.
T1132,Data encoding,The attacker used a password cracker to gain access to user accounts.
T1132,Data encoding,The attacker used a one-time pad to encrypt the data.
T1132,Data encoding,The attacker used a network sniffer to intercept network traffic.
T1132,Data encoding,The attacker used a modified version of the VigenÃ¨re cipher to encrypt the data.
T1132,Data encoding,The attacker used a man-in-the-middle attack to intercept the data.
T1132,Data encoding,The attacker used a keylogger to capture keystrokes.
T1132,Data encoding,The attacker used a hidden service to communicate with the command and control server.
T1132,Data encoding,The attacker used a fileless malware attack to avoid detection by traditional antivirus software.
T1132,Data encoding,The attacker used a drive-by download to infect the victim's system with malware.
T1132,Data encoding,The attacker used a DNS tunneling technique to communicate with the command and control server.
T1132,Data encoding,The attacker used a DLL injection attack to inject malicious code into a process.
T1132,Data encoding,The attacker used a digital signature to authenticate
T1132,Data encoding,The attacker used a dictionary attack to guess the password.
T1132,Data encoding,The attacker used a custom obfuscation technique that involved XORing the data with a randomly generated key.
T1132,Data encoding,The attacker used a custom encryption algorithm to obfuscate the payload.
T1132,Data encoding,The attacker used a custom encoding algorithm to obfuscate the data.
T1132,Data encoding,The attacker used a custom algorithm that involved swapping the order of the bytes in the data.
T1132,Data encoding,The attacker used a custom algorithm that involved scrambling the bits in the data.
T1132,Data encoding,The attacker used a custom algorithm that involved reversing the order of the bits in the data.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with Morse code.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with Braille.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with a video file.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with a UPC code.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with a sound file.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with a QR code.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with a font.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with a color palette.
T1132,Data encoding,The attacker used a custom algorithm that involved encoding the data with a barcode.
T1132,Data encoding,The attacker used a custom algorithm that involved adding random data to the original data.
T1132,Data encoding,The attacker used a cross-site scripting attack to inject malicious code into a website.
T1132,Data encoding,The attacker used a covert channel to exfiltrate the data.
T1132,Data encoding,The attacker used a combination of XOR and substitution ciphers to encrypt the data.
T1132,Data encoding,The attacker used a combination of XOR and randomization to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and multiplication to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and division to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and bitwise XOR to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and bitwise OR to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and bitwise NOT to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and bitwise AND to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and bit-shifting to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and bit shifting to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and bit rotation to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and bit inversion to obfuscate the data.
T1132,Data encoding,The attacker used a combination of XOR and addition to obfuscate the data.
T1132,Data encoding,The attacker used a combination of ROT13 and XOR to obfuscate the data.
T1132,Data encoding,The attacker used a code signing certificate to make the malware appear legitimate.
T1132,Data encoding,The attacker used a Caesar cipher to encrypt the data.
T1132,Data encoding,The attacker used a buffer overflow attack to execute arbitrary code.
T1132,Data encoding,The attacker used a brute force attack to guess the password.
T1132,Data encoding,The attacker used a block cipher to encrypt the data.
T1132,Data encoding,The attacker used a backdoor to gain access to the system.
T1132,Data encoding,The attacker compressed the data before encoding it with a custom algorithm.
T1132,Data encoding,The attacker used a base64 encoding to obfuscate the data.
T1132,Data encoding,The attacker used XOR encryption to encode the data.
T1132,Data encoding,The attacker used a simple substitution cipher to encode the data.
T1132,Data encoding,The attacker used a steganography technique to hide the encoded data within an image.
T1132,Data encoding,The attacker used a combination of different encoding techniques to encode the data.
T1132,Data encoding,The attacker used a custom encryption algorithm to encode the data.
T1132,Data encoding,The attacker used an algorithm to generate a one-time pad to encrypt the data.
T1132,Data encoding,The attacker used a technique called URL encoding to encode the data.
T1132,Data encoding,The attacker used an algorithm to generate a unique key to encrypt the data.
T1132,Data encoding,The attacker used a technique called binary-to-text encoding to encode the data.
T1132,Data encoding,The attacker used a technique called Caesar cipher to encode the data.
T1132,Data encoding,The attacker used a technique called homophonic substitution cipher to encode the data.
T1132,Data encoding,The attacker used a technique called VigenÃ¨re cipher to encode the data.
T1132,Data encoding,The attacker used a technique called polyalphabetic cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Rail Fence cipher to encode the data.
T1132,Data encoding,The attacker used a technique called transposition cipher to encode the data.
T1132,Data encoding,The attacker used a technique called columnar transposition cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Playfair cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Autokey cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Beaufort cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Gronsfeld cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Porta cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Running Key cipher to encode the data.
T1132,Data encoding,The attacker used a technique called ADFGVX cipher to encode the data.
T1132,Data encoding,The attacker used a technique called ADFGX cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Hill cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Affine cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Atbash cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Bifid cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Four Square cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Trifid cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Baconian cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Polybius Square cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Homophonic Substitution cipher to encode the data.
T1132,Data encoding,The attacker used a technique called Enigma cipher to encode the data.
T1132,Data encoding,The attacker used a technique called RSA encryption to encode the data.
T1132,Data encoding,The attacker used a technique called elliptic curve cryptography to encode the data.
T1132,Data encoding,The attacker used a technique called symmetric key encryption to encode the data.
T1132,Data encoding,The attacker used a technique called asymmetric key encryption to encode the data.
T1132,Data encoding,The attacker used a technique called Diffie-Hellman key exchange to encode the data.
T1132,Data encoding,The attacker used a technique called digital signature to encode the data.
T1132,Data encoding,The attacker used a technique called hash function to encode the data.
T1132,Data encoding,The attacker used a technique called message authentication code to encode the data.
T1132,Data encoding,The attacker used a technique called block cipher to encode the data.
T1132,Data encoding,The attacker used a technique called stream cipher to encode the data.
T1132,Data encoding,The attacker used a technique called RC4 encryption to encode the
T1132,Data encoding,The attacker used base64 encoding to obfuscate the payload.
T1132,Data encoding,The attacker used a simple substitution cipher to encode the data.
T1132,Data encoding,The attacker used steganography to hide data in images.
T1132,Data encoding,The attacker used AES encryption to protect the stolen data.
T1132,Data encoding,The attacker used XOR encryption to mask the data.
T1132,Data encoding,The attacker used an SSL connection to encrypt the data in transit.
T1132,Data encoding,The attacker used a custom encryption algorithm to obfuscate the data.
T1132,Data encoding,The attacker used ROT13 encryption to obfuscate the data.
T1132,Data encoding,The attacker used a double XOR encryption to encode the data.
T1132,Data encoding,The attacker used a one-time pad encryption to protect the data.
T1132,Data encoding,The attacker used a custom encoding method to hide the data.
T1132,Data encoding,The attacker used a hash function to encode the data.
T1132,Data encoding,The attacker used a public key encryption algorithm to protect the data.
T1132,Data encoding,The attacker used a custom algorithm to encode the data in a way that resembled a legitimate file format.
T1132,Data encoding,The attacker used steganography to hide the data in the metadata of a file.
T1132,Data encoding,The attacker used a combination of XOR and substitution ciphers to encode the data.
T1132,Data encoding,The attacker used a secret key encryption algorithm to protect the data.
T1132,Data encoding,The attacker used a compression algorithm to encode the data.
T1132,Data encoding,The attacker used a complex substitution cipher to obfuscate the data.
T1132,Data encoding,The attacker used a custom steganography tool to hide the data in images.
T1132,Data encoding,The attacker used a custom algorithm to encode the data in the whitespace of a file.
T1132,Data encoding,The attacker used a combination of encoding and encryption to protect the data.
T1132,Data encoding,The attacker used a novel encryption method to protect the data.
T1132,Data encoding,The attacker used a symmetric key encryption algorithm to protect the data.
T1132,Data encoding,The attacker used a custom encoding method to hide the data in plain sight.
T1132,Data encoding,The attacker used a novel encoding method to obfuscate the data.
T1132,Data encoding,The attacker used a custom encryption algorithm to protect the data in transit.
T1132,Data encoding,The attacker used a substitution cipher with a variable key to encode the data.
T1132,Data encoding,The attacker used a custom algorithm to encode the data in a way that resembled a legitimate network protocol.
T1132,Data encoding,The attacker used a modified encoding algorithm to obfuscate the data.
T1132,Data encoding,The attacker used a custom algorithm to hide the data in a video file.
T1132,Data encoding,The attacker used a secret key encryption algorithm to obfuscate the data.
T1132,Data encoding,The attacker used a custom algorithm to encode the data in a way that resembled a legitimate audio file format.
T1132,Data encoding,The attacker used a custom algorithm to encode the data in a way that resembled a legitimate image file format.
